q(t),H_ratio,S(t),MSE(model0_vs_ref),KL(f0||D),"JS(f0,D)",q_stagnation,q_tail_ratio,q_entropy_ratio
8.277878147722184e-06,1.0000002905006646,0.0,1.0371214988987082e-05,0.0030514981357012624,0.0007497770839676732,0.6610854590836959,7.243395825946259,1.1653069815657402
7.747768179466874e-06,1.0000002719060725,0.0,1.0393024751899698e-05,0.0029327136145061612,0.0007208157876504844,0.6598590632643335,7.243790831685712,1.1654207805022858
7.251605962044216e-06,1.0000002545011626,0.0,1.0414535202206201e-05,0.002818515713707847,0.0006929605456213045,0.6586513936270312,7.244177606765671,1.1655318517850277
6.787217523562816e-06,1.0000002382098854,0.0,1.0435746887905871e-05,0.0027087294673984325,0.0006661698132467957,0.6574622886251323,7.244556329008743,1.165640267084195
6.352568109768697e-06,1.0000002229610438,0.0,1.0456660562442908e-05,0.0026031864601919127,0.0006404035680798049,0.6562915825960829,7.244927172153181,1.1657460959997716
5.945753267622145e-06,1.000000208687987,0.0,1.04772771719674e-05,0.0025017245893402366,0.0006156232562027192,0.655139106065186,7.245290305955609,1.1658494061259979
5.564990502859857e-06,1.000000195328317,0.0,1.0497597843196164e-05,0.0024041878350333223,0.0005917917403423702,0.6540046860388318,7.245645896290856,1.1659502631137673
5.208611468354718e-06,1.0000001828236227,0.0,1.0517623871847594e-05,0.002310426038626495,0.0005688732497049413,0.6528881462873323,7.245994105249004,1.166048730730996
4.875054655961719e-06,1.0000001711192226,0.0,1.0537356711625801e-05,0.0022202946885544004,0.0005468333314803493,0.6517893076175139,7.246335091229717,1.1661448709210314
4.562858554213456e-06,1.0000001601639281,0.0,1.0556797963730303e-05,0.002133654713690373,0.0005256388039674648,0.6507079881352155,7.246669009033959,1.1662387438591628
4.270655244775767e-06,1.0000001499098208,0.0,1.0575949366868488e-05,0.002050372283917884,0.0005052577112716746,0.6496440034978744,7.246996009953152,1.1663304080072956
3.997164408242604e-06,1.0000001403120449,0.0,1.0594812787749074e-05,0.001970318617680598,0.0004856592795278677,0.6485971671573678,7.247316241855886,1.166419920166851
3.741187715622374e-06,1.0000001313286109,0.0,1.061339021203569e-05,0.0018933697962950913,0.00046681387460215064,0.6475672905933076,7.2476298492722275,1.166507335529949
3.501603577871215e-06,1.0000001229202131,0.0,1.0631683735740516e-05,0.0018194065848031946,0.0004486929612285543,0.6465541835369764,7.24793697347572,1.16659270772893
3.277362230047487e-06,1.0000001150500586,0.0,1.0649695557038838e-05,0.0017483142591555034,0.00043126906353481344,0.6455576541861101,7.248237752563135,1.1666760888842749
3.067481133989247e-06,1.0000001076837064,0.0,1.0667427968486087e-05,0.001679982439515242,0.000414515726916058,0.6445775094107368,7.248532321532045,1.1667575296509678
2.871040671204028e-06,1.000000100788918,0.0,1.0684883349619795e-05,0.0016143049294872844,0.00039840748121378793,0.6436135549502713,7.248820812356298,1.1668370792633609
2.687180115090726e-06,1.0000000943355158,0.0,1.0702064159929545e-05,0.0015511795610734375,0.00038291980515905077,0.6426655956020956,7.249103354059429,1.1669147855785873
