One Model With Late Self Training,Two Models With Late Self Training,Zipf Two Models With Late Self Training,"Zipf Two Models With q(t), S(t), and C(x,f)",Zipf_Two_Models_q_S_C,Zipf_n2_qS_ramp_KLJS,Zipf_n1_qS_ramp_KLJS,Zipf_n10_qS_ramp_KLJS
6.32589642771141e-06,8.011971375535283e-07,8.393509278347941e-07,9.274819704693938e-06,9.276982329564594e-06,9.12095522392296e-06,9.168590840895058e-06,9.197502795231509e-06
6.302078660056239e-06,7.997731033829588e-07,8.077936668548727e-07,9.31714523674905e-06,9.319279213812342e-06,9.148943296919206e-06,9.21249199570301e-06,9.239466309865303e-06
6.279700655836278e-06,8.014797781450665e-07,7.774127325582903e-07,9.35882042165607e-06,9.360925746975477e-06,9.17725823439118e-06,9.255734430183114e-06,9.280863672243496e-06
6.258776810533439e-06,8.062504839917087e-07,7.481668371884172e-07,9.39985027241803e-06,9.401926964857128e-06,9.20585814855706e-06,9.298322351784523e-06,9.321695108448732e-06
6.239323600190009e-06,8.140236834129621e-07,7.200159787365701e-07,9.440240031723763e-06,9.442288131600929e-06,9.234703400937768e-06,9.340260253669666e-06,9.361961294196309e-06
6.221359509684832e-06,8.247426055291677e-07,6.929214134772109e-07,9.479995153548708e-06,9.482014721353014e-06,9.263756501010414e-06,9.381552893674858e-06,9.401663327179729e-06
6.2049049653282725e-06,8.383549028622523e-07,6.668456280417673e-07,9.519121285706123e-06,9.52111240087202e-06,9.29298200912911e-06,9.42220527432078e-06,9.440802700730772e-06
6.189982271408948e-06,8.548123358371782e-07,6.417523111491378e-07,9.557624253305496e-06,9.559587013043774e-06,9.322346443539992e-06,9.462222623827114e-06,9.479381278737837e-06
6.176615550348092e-06,8.740704825381704e-07,6.176063251000821e-07,9.595510043076573e-06,9.59744456125934e-06,9.35181819132416e-06,9.501610378087469e-06,9.517401271768453e-06
6.164830686138581e-06,8.960884714883638e-07,5.943736771326296e-07,9.63278478851938e-06,9.634691194616792e-06,9.381367423108716e-06,9.540374163562343e-06,9.554865214344025e-06
6.154655270765453e-06,9.208287354392292e-07,5.720214907263082e-07,9.66945475584209e-06,9.671333193908678e-06,9.41096601139234e-06,9.578519781049584e-06,9.59177594331687e-06
6.146118553323056e-06,9.482567843505916e-07,5.505179769343485e-07,9.705526330650365e-06,9.707376958358924e-06,9.440587452338008e-06,9.616053190293349e-06,9.628136577301599e-06
6.139251391561174e-06,9.783409959159731e-07,5.298324058150334e-07,9.741006005353304e-06,9.742828993074323e-06,9.470206790891106e-06,9.652980495394135e-06,9.663950497114827e-06
6.134086205608548e-06,1.011052422143692e-06,5.099350780259713e-07,9.77590036725259e-06,9.777695897177333e-06,9.499800549086969e-06,9.689307930984014e-06,9.699221327178967e-06
6.130656933637228e-06,1.0463646106436845e-06,4.907972966382596e-07,9.810216087282947e-06,9.81198435258832e-06,9.529346657417135e-06,9.725041849132504e-06,9.73395291784776e-06
6.128998989245407e-06,1.0842534393952498e-06,4.7239133922120233e-07,9.843959909373333e-06,9.845701113426818e-06,9.55882438912892e-06,9.760188706950083e-06,9.76814932861279e-06
6.129149220349748e-06,1.1246969638833797e-06,4.5469043024246676e-07,9.877138640399673e-06,9.878852996002615e-06,9.588214297337735e-06,9.794755054857604e-06,9.80181481215201e-06
6.131145869390806e-06,1.1676752755924685e-06,4.376687138232043e-07,9.909759140701248e-06,9.911446869368853e-06,9.617498154836574e-06,9.828747525491166e-06,9.834953799182802e-06
6.135028534667172e-06,1.2131703709372625e-06,4.213012268827886e-07,9.941828315133936e-06,9.94348964641042e-06,9.646658896491564e-06,9.862172823213356e-06,9.86757088408369e-06
6.1408381326253504e-06,1.2611660297929097e-06,4.0556387270328066e-07,9.973353104634906e-06,9.97498827544231e-06,9.675680564116965e-06,9.895037714202864e-06,9.899670811250343e-06
6.148616860943188e-06,1.311647702860024e-06,3.904333949396268e-07,1.0004340478274246e-05,1.0005949732293486e-05,9.7045482537273e-06,9.92734901709575e-06,9.931258462152829e-06
6.158408162255172e-06,1.3646024071674355e-06,3.75887352097794e-07,1.0034797425770336e-05,1.0036381012853045e-05,9.73324806506836e-06,9.959113594152733e-06,9.962338843062582e-06
