MSE_f1_H,MSE_f2_H,q(t),H_ratio,MSE_f1_H_2,MSE_f2_H_2,q(t)_2,H_ratio_2
9.38298676098532e-10,9.39861195957201e-10,0.0047154114609472,0.9989143104903996,9.38298676098532e-10,9.39861195957201e-10,0.00471541146094725,0.9989143104903996
9.414388420776442e-10,9.42946139920453e-10,0.0047162254414461,0.9989141392408768,9.414388420776444e-10,9.429461399204533e-10,0.004716225441446187,0.9989141392408767
9.444746782758091e-10,9.459283803544408e-10,0.0047170110653791,0.9989139745150872,9.444746782758091e-10,9.459283803544408e-10,0.00471701106537914,0.9989139745150872
9.474092745153087e-10,9.488109882463775e-10,0.0047177693348188,0.9989138160595206,9.474092745153089e-10,9.488109882463777e-10,0.004717769334818822,0.9989138160595206
9.502456599636163e-10,9.515969710351639e-10,0.0047185012157456,0.9989136636307612,9.502456599636163e-10,9.515969710351639e-10,0.004718501215745663,0.9989136636307613
9.529868015105518e-10,9.54289271391168e-10,0.0047192076393777,0.9989135169950762,9.529868015105518e-10,9.54289271391168e-10,0.0047192076393777205,0.9989135169950762
9.556356024887136e-10,9.568907663006195e-10,0.004719889503453,0.998913375928018,9.556356024887136e-10,9.568907663006197e-10,0.004719889503453034,0.9989133759280181
9.581949017032582e-10,9.594042664239287e-10,0.0047205476734623,0.9989132402140464,9.581949017032584e-10,9.594042664239287e-10,0.0047205476734623495,0.9989132402140464
9.606674727401e-10,9.61832515700552e-10,0.0047211829838385,0.9989131096461624,9.606674727401e-10,9.61832515700552e-10,0.004721182983838545,0.9989131096461624
9.63056023524813e-10,9.641781911745595e-10,0.0047217962390941,0.9989129840255628,9.630560235248133e-10,9.641781911745597e-10,0.004721796239094123,0.9989129840255628
9.653631961061896e-10,9.664439030181962e-10,0.0047223882149242,0.9989128631613052,9.653631961061896e-10,9.664439030181962e-10,0.004722388214924278,0.9989128631613052
9.675915666405126e-10,9.68632194731865e-10,0.0047229596592601,0.9989127468699884,9.675915666405126e-10,9.68632194731865e-10,0.0047229596592601505,0.9989127468699883
9.697436455556402e-10,9.707455435008366e-10,0.0047235112932854,0.9989126349754472,9.697436455556402e-10,9.707455435008366e-10,0.004723511293285476,0.9989126349754472
9.718218778742378e-10,9.72786360691376e-10,0.0047240438124164,0.9989125273084578,9.718218778742378e-10,9.72786360691376e-10,0.004724043812416423,0.9989125273084578
9.73828643678843e-10,9.74756992469607e-10,0.0047245578872464,0.9989124237064572,9.738286436788433e-10,9.74756992469607e-10,0.004724557887246439,0.9989124237064573
9.75766258701748e-10,9.766597205285601e-10,0.0047250541644467,0.9989123240132742,9.75766258701748e-10,9.7665972052856e-10,0.004725054164446707,0.9989123240132742
